timeStamp,mmsi
1641052800000,mmsi
1641052800004,mmsi
1641052800008,mmsi
1641052800012,mmsi
1641052800016,mmsi
1641052800020,mmsi
1641052800024,mmsi
1641052800028,mmsi
1641052800032,mmsi
1641052800036,mmsi
1641052800040,mmsi
1641052800044,mmsi
1641052800048,mmsi
1641052800052,mmsi
1641052800056,mmsi
1641052800060,mmsi
1641052800064,mmsi
1641052800068,mmsi
1641052800072,mmsi
1641052800076,mmsi
1641052800080,mmsi
1641052800084,mmsi
1641052800088,mmsi
1641052800092,mmsi
1641052800096,mmsi
1641052800100,mmsi
1641052800104,mmsi
1641052800108,mmsi
1641052800112,mmsi
1641052800116,mmsi
1641052800120,mmsi
1641052800124,mmsi
1641052800128,mmsi
1641052800132,mmsi
1641052800136,mmsi
1641052800140,mmsi
1641052800144,mmsi
1641052800148,mmsi
1641052800152,mmsi
1641052800156,mmsi
1641052800160,mmsi
1641052800164,mmsi
1641052800168,mmsi
1641052800172,mmsi
1641052800176,mmsi
1641052800180,mmsi
1641052800184,mmsi
1641052800188,mmsi
1641052800192,mmsi
1641052800196,mmsi
1641052800200,mmsi
1641052800204,mmsi
1641052800208,mmsi
1641052800212,mmsi
1641052800216,mmsi
1641052800220,mmsi
1641052800224,mmsi
1641052800228,mmsi
1641052800232,mmsi
1641052800236,mmsi
1641052800240,mmsi
1641052800244,mmsi
1641052800248,mmsi
1641052800252,mmsi
1641052800256,mmsi
1641052800260,mmsi
1641052800264,mmsi
1641052800268,mmsi
1641052800272,mmsi
1641052800276,mmsi
1641052800280,mmsi
1641052800284,mmsi
1641052800288,mmsi
1641052800292,mmsi
1641052800296,mmsi
1641052800300,mmsi
1641052800304,mmsi
1641052800308,mmsi
1641052800312,mmsi
1641052800316,mmsi
1641052800320,mmsi
1641052800324,mmsi
1641052800328,mmsi
1641052800332,mmsi
1641052800336,mmsi
1641052800340,mmsi
1641052800344,mmsi
1641052800348,mmsi
1641052800352,mmsi
1641052800356,mmsi
1641052800360,mmsi
1641052800364,mmsi
1641052800368,mmsi
1641052800372,mmsi
1641052800376,mmsi
1641052800380,mmsi
1641052800384,mmsi
1641052800388,mmsi
1641052800392,mmsi
1641052800396,mmsi
1641052800400,mmsi
